"primary"	"secondary"	"symbol"
"110"	"100033821"	"ENSG00000207245"	"SNORD116-29"
"111"	"100033822"	"ENSG00000201634"	"SNORD115-48"
"112"	"100034743"	"ENSG00000215859"	"PDZK1P1"
"113"	"100036563"	"ENSG00000200398"	"SNORD115-24"
"114"	"100036564"	"ENSG00000201300"	"SNORD115-27"
"115"	"100036565"	"ENSG00000200801"	"SNORD115-28"
"116"	"100036566"	"ENSG00000212380"	"SNORD115-45"
"117"	"100036567"	"ENSG00000212528"	"SNORD115-47"
"118"	"100036574"	"ENSG00000258967"	"HMGN1P3"
"119"	"100036575"	"ENSG00000224040"	"HMGN1P4"
"120"	"100037267"	""	"LOC100037267"
"121"	"100037280"	"ENSG00000225022"	"UBE2D3P1"
"122"	"100037417"	"ENSG00000099974"	"DDTL"
"123"	"100038246"	"ENSG00000236311"	"TLX1NB"
"124"	"10004"	"ENSG00000168060"	"NAALADL1"
"125"	"100048903"	"ENSG00000235963"	"MCCD1P1"
"126"	"100048904"	"ENSG00000233677"	"DDX39BP1"
"127"	"100048907"	"ENSG00000233916"	"ZDHHC20P1"
"128"	"100048908"	"ENSG00000223702"	"ZDHHC20P2"
"129"	"100048909"	"ENSG00000227609"	"TMEM183AP1"
"130"	"100048912"	"ENSG00000240498"	"CDKN2B-AS1"
"131"	"100048922"	"ENSG00000225644"	"RPL35AP4"
"132"	"100048923"	"ENSG00000238024"	"DDX39BP2"
"133"	"100048924"	"ENSG00000224312"	"MCCD1P2"
"134"	"100049076"	"ENSG00000215630"	"GUSBP9"
"135"	"100049579"	""	"OCTN3"
"136"	"100049587"	"ENSG00000254415"	"SIGLEC14"
"137"	"100049613"	""	"TRK-TTT3-4"
"138"	"100049614"	""	"TRV-CAC1-5"
"139"	"100049716"	"ENSG00000177406"	"NINJ2-AS1"
"140"	"100049717"	"ENSG00000231491"	"JKAMPP1"
"141"	"10005"	"ENSG00000101473"	"ACOT8"
"142"	"10006"	"ENSG00000136754"	"ABI1"
"143"	"10007"	"ENSG00000113552"	"GNPDA1"
"144"	"100073347"	"ENSG00000268654"	"MIMT1"
"145"	"10008"	"ENSG00000175538"	"KCNE3"
"146"	"10009"	"ENSG00000177485"	"ZBTB33"
"147"	"100093624"	"ENSG00000253492"	"CDH12P3"
"148"	"100093625"	"ENSG00000254335"	"CDH12P1"
"149"	"100093626"	"ENSG00000253900"	"CDH12P4"
"150"	"100093630"	"ENSG00000269893"	"SNHG8"
"151"	"100093631"	"ENSG00000233369"	"GTF2IP4"
"152"	"100093698"	"ENSG00000231216"	"GS1-600G8.3"
"153"	"1001"	"ENSG00000062038"	"CDH3"
"154"	"10010"	"ENSG00000136560"	"TANK"
"155"	"100101111"	"ENSG00000230931"	"GXYLT1P1"
"156"	"100101112"	""	"CDC14BL"
"157"	"100101115"	"ENSG00000237563"	"TTTY21B"
"158"	"100101116"	"ENSG00000129816"	"TTTY1B"
"159"	"100101117"	"ENSG00000212856"	"TTTY2B"
"160"	"100101118"	"ENSG00000185700"	"TTTY8B"
"161"	"100101119"	"ENSG00000229707"	"SKP1P3"
"162"	"100101120"	"ENSG00000147761"	"TTTY7B"
"163"	"100101121"	"ENSG00000250204"	"TTTY23B"
"164"	"100101126"	""	"LOC100101126"
"165"	"100101127"	"ENSG00000271113"	"LOC100101127"
"166"	"100101148"	""	"LOC100101148"
"167"	"100101246"	"ENSG00000238168"	"IFITM3P5"
"168"	"100101247"	"ENSG00000196114"	"IFITM3P3"
"169"	"100101266"	"ENSG00000268442"	"HAVCR1P1"
"170"	"100101267"	"ENSG00000272391"	"POM121C"
"171"	"100101268"	"ENSG00000184616"	"SPDYE12P"
"172"	"100101405"	"ENSG00000255265"	"TMA16P1"
"173"	"100101407"	"ENSG00000232467"	"TMA16P2"
"174"	"100101440"	"ENSG00000229018"	"PMS2P7"
"175"	"100101467"	"ENSG00000186814"	"ZSCAN30"
"176"	"100101478"	"ENSG00000235946"	"H2BW3P"
"177"	"100101483"	""	"LOC100101483"
"178"	"100101490"	"ENSG00000101898"	"MCTS2P"
"179"	"100101554"	"ENSG00000230273"	"BRI3P3"
"180"	"100101629"	""	"GAGE8"
"181"	"100101917"	""	"ELF2P1"
"182"	"100101932"	"ENSG00000254949"	"GNG5P3"
"183"	"100101933"	""	"GNG5P4"
"184"	"100101935"	"ENSG00000234590"	"GNG5P5"
"185"	"100101938"	"ENSG00000237636"	"ANKRD26P3"
"186"	"10011"	"ENSG00000213523"	"SRA1"
"187"	"100113373"	"ENSG00000238249"	"HMGN2P17"
"188"	"100113374"	""	"LOC100113374"
"189"	"100113375"	""	"LOC100113375"
"190"	"100113378"	""	"SNORD119"
"191"	"100113379"	"ENSG00000238886"	"SNORD121A"
"192"	"100113380"	"ENSG00000239127"	"SNORD125"
"193"	"100113381"	"ENSG00000238862"	"SNORD19B"
"194"	"100113382"	"ENSG00000238531"	"SNORD105B"
"195"	"100113384"	"ENSG00000239112"	"SNORD123"
"196"	"100113386"	"ENSG00000280213"	"UCKL1-AS1"
"197"	"100113389"	"ENSG00000239043"	"SNORD127"
"198"	"100113391"	"ENSG00000238344"	"SNORD126"
"199"	"100113392"	"ENSG00000271852"	"SNORD11B"
"200"	"100113393"	"ENSG00000222365"	"SNORD12B"
"201"	"100113397"	""	"LOC100113397"
"202"	"100113402"	"ENSG00000221514"	"SNORD111B"
"203"	"100113403"	"ENSG00000203809"	"LIN28B-AS1"
"204"	"100113404"	"ENSG00000205636"	"LINC00583"
"205"	"100113407"	"ENSG00000205269"	"TMEM170B"
"206"	"100113421"	"ENSG00000219693"	"FGF7P8"
"207"	"100114903"	"ENSG00000226933"	"NRBF2P2"
"208"	"100118954"	"ENSG00000270427"	"NRBF2P5"
"209"	"100124332"	"ENSG00000213438"	"YBX2P1"
"210"	"100124334"	"ENSG00000258611"	"YBX2P2"
"211"	"100124373"	""	"LOC100124373"
"212"	"100124394"	"ENSG00000241879"	"KLF3P2"
"213"	"100124401"	"ENSG00000228225"	"CRLF3P3"
"214"	"100124402"	""	"LOC100124402"
"215"	"100124412"	"ENSG00000248893"	"FAM138E"
"216"	"100124516"	"ENSG00000202093"	"SNORD58C"
"217"	"100124533"	""	"SCARNA27"
"218"	"100124534"	"ENSG00000239183"	"SNORA84"
"219"	"100124535"	"ENSG00000207016"	"SNORA36C"
"220"	"100124536"	"ENSG00000200394"	"SNORA38B"
"221"	"100124537"	"ENSG00000206937"	"SNORA70B"
"222"	"100124538"	"ENSG00000207268"	"SNORA70C"
"223"	"100124539"	"ENSG00000221102"	"SNORA11B"
"224"	"100124540"	"ENSG00000221459"	"SNORA11C"
"225"	"100124541"	"ENSG00000221475"	"SNORA11D"
"226"	"100124700"	"ENSG00000228630"	"HOTAIR"
"227"	"100125288"	"ENSG00000220201"	"ZGLP1"
"228"	"100125387"	"ENSG00000223984"	"HNRNPRP1"
"229"	"100125392"	""	"LOC100125392"
"230"	"100125393"	""	"LOC100125393"
"231"	"100125409"	""	"LOC100125409"
"232"	"100125556"	"ENSG00000171084"	"FAM86JP"
"233"	"100126007"	""	"L1TD1P1"
"234"	"100126008"	""	"NUDT19P1"
"235"	"100126270"	"ENSG00000268066"	"FMR1-AS1"
"236"	"100126296"	"ENSG00000216031"	"MIR298"
"237"	"100126297"	"ENSG00000215957"	"MIR300"
"238"	"100126299"	"ENSG00000278815"	"VTRNA2-1"
"239"	"100126301"	"ENSG00000212013"	"MIR509-2"
"240"	"100126302"	"ENSG00000216001"	"MIR450B"
"241"	"100126303"	"ENSG00000216075"	"MIR890"
"242"	"100126304"	"ENSG00000216064"	"MIR891B"
"243"	"100126306"	"ENSG00000216005"	"MIR888"
"244"	"100126307"	"ENSG00000216098"	"MIR892B"
"245"	"100126308"	"ENSG00000216179"	"MIR541"
"246"	"100126309"	"ENSG00000216069"	"MIR875"
"247"	"100126310"	"ENSG00000215966"	"MIR876"
"248"	"100126311"	"ENSG00000284386"	"MIR147B"
"249"	"100126313"	"ENSG00000266297"	"MIR744"
"250"	"100126314"	"ENSG00000216101"	"MIR877"
"251"	"100126315"	"ENSG00000283159"	"MIR665"
"252"	"100126316"	"ENSG00000215939"	"MIR873"
"253"	"100126317"	"ENSG00000212027"	"MIR374B"
"254"	"100126318"	"ENSG00000212102"	"MIR301B"
"255"	"100126319"	"ENSG00000211520"	"MIR216B"
"256"	"100126320"	"ENSG00000216192"	"MIR920"
"257"	"100126321"	"ENSG00000284146"	"MIR922"
"258"	"100126323"	"ENSG00000283615"	"MIR924"
"259"	"100126324"	"ENSG00000216060"	"MIR934"
"260"	"100126325"	"ENSG00000284583"	"MIR935"
"261"	"100126326"	"ENSG00000283788"	"MIR936"
"262"	"100126327"	"ENSG00000216035"	"MIR938"
"263"	"100126328"	"ENSG00000284346"	"MIR940"
"264"	"100126329"	"ENSG00000283206"	"MIR941-1"
"265"	"100126330"	"ENSG00000216195"	"MIR941-4"
"266"	"100126331"	"ENSG00000215930"	"MIR942"
"267"	"100126332"	"ENSG00000284587"	"MIR943"
"268"	"100126333"	"ENSG00000211997"	"MIR708"
