"primary"	"secondary"	"symbol"
"115"	"23650"	"ENSG00000137699"	"TRIM29"
"116"	"55422"	"ENSG00000130844"	"ZNF331"
"117"	"6752"	"ENSG00000180616"	"SSTR2"
"118"	NA	"ENSG00000124224"	NA
"119"	"26011"	"ENSG00000149256"	"TENM4"
"120"	"646"	"ENSG00000169594"	"BNC1"
"121"	"1381"	"ENSG00000166426"	"CRABP1"
"122"	"64115"	"ENSG00000107738"	"VSIR"
"123"	"10205"	"ENSG00000149573"	"MPZL2"
"124"	"4920"	"ENSG00000169071"	"ROR2"
"125"	"11245"	"ENSG00000166073"	"GPR176"
"126"	"9507"	"ENSG00000158859"	"ADAMTS4"
"127"	"4151"	"ENSG00000198125"	"MB"
"128"	"9469"	"ENSG00000122863"	"CHST3"
"129"	"79746"	"ENSG00000134463"	"ECHDC3"
"130"	"728927"	"ENSG00000234444"	"ZNF736"
"131"	"3872"	"ENSG00000128422"	"KRT17"
"132"	"79148"	"ENSG00000271447"	"MMP28"
"133"	"729993"	"ENSG00000237515"	"SHISA9"
"134"	"9610"	"ENSG00000174791"	"RIN1"
"135"	"9982"	"ENSG00000137440"	"FGFBP1"
"136"	"284391"	"ENSG00000223547"	"ZNF844"
"137"	"135932"	"ENSG00000178826"	"TMEM139"
"138"	"152485"	"ENSG00000151612"	"ZNF827"
"139"	"1012"	"ENSG00000140945"	"CDH13"
"140"	"80129"	"ENSG00000120262"	"CCDC170"
"141"	"6098"	"ENSG00000047936"	"ROS1"
"142"	"2196"	"ENSG00000086570"	"FAT2"
"143"	"58499"	"ENSG00000148143"	"ZNF462"
"144"	NA	"ENSG00000214189"	NA
"145"	"130589"	"ENSG00000143891"	"GALM"
"146"	"113220"	"ENSG00000136883"	"KIF12"
"147"	"27122"	"ENSG00000050165"	"DKK3"
"148"	NA	"ENSG00000275216"	NA
"149"	"6542"	"ENSG00000003989"	"SLC7A2"
"150"	"80319"	"ENSG00000168772"	"CXXC4"
"151"	"23683"	"ENSG00000115825"	"PRKD3"
"152"	"10643"	"ENSG00000136231"	"IGF2BP3"
"153"	"27202"	"ENSG00000134830"	"C5AR2"
"154"	"91074"	"ENSG00000148513"	"ANKRD30A"
"155"	"10439"	"ENSG00000130558"	"OLFM1"
"156"	"93664"	"ENSG00000081803"	"CADPS2"
"157"	"5328"	"ENSG00000122861"	"PLAU"
"158"	"1602"	"ENSG00000276644"	"DACH1"
"159"	"858"	"ENSG00000105971"	"CAV2"
"160"	"23475"	"ENSG00000103485"	"QPRT"
"161"	"2533"	"ENSG00000082074"	"FYB1"
"162"	"2709"	"ENSG00000189280"	"GJB5"
"163"	"27134"	"ENSG00000105289"	"TJP3"
"164"	"60401"	"ENSG00000131080"	"EDA2R"
"165"	"203328"	"ENSG00000157303"	"SUSD3"
"166"	"55466"	"ENSG00000140403"	"DNAJA4"
"167"	"6422"	"ENSG00000104332"	"SFRP1"
"168"	"9124"	"ENSG00000107438"	"PDLIM1"
"169"	"29940"	"ENSG00000111817"	"DSE"
"170"	"10630"	"ENSG00000162493"	"PDPN"
"171"	"3786"	"ENSG00000184156"	"KCNQ3"
"172"	"9651"	"ENSG00000149527"	"PLCH2"
"173"	"3490"	"ENSG00000163453"	"IGFBP7"
"174"	"57158"	"ENSG00000149596"	"JPH2"
"175"	"55612"	"ENSG00000101311"	"FERMT1"
"176"	"1366"	"ENSG00000181885"	"CLDN7"
"177"	"4199"	"ENSG00000065833"	"ME1"
"178"	"90843"	"ENSG00000180964"	"TCEAL8"
"179"	"8537"	"ENSG00000064787"	"BCAS1"
"180"	"84775"	"ENSG00000198182"	"ZNF607"
"181"	NA	"ENSG00000254682"	NA
"182"	"863"	"ENSG00000129993"	"CBFA2T3"
"183"	"26507"	"ENSG00000119946"	"CNNM1"
"184"	"79633"	"ENSG00000196159"	"FAT4"
"185"	"4493"	"ENSG00000169715"	"MT1E"
"186"	"55128"	"ENSG00000167333"	"TRIM68"
"187"	"23768"	"ENSG00000185070"	"FLRT2"
"188"	"4327"	"ENSG00000123342"	"MMP19"
"189"	"3428"	"ENSG00000163565"	"IFI16"
"190"	"3606"	"ENSG00000150782"	"IL18"
"191"	"148156"	"ENSG00000167785"	"ZNF558"
"192"	"21"	"ENSG00000167972"	"ABCA3"
"193"	"6622"	"ENSG00000145335"	"SNCA"
"194"	"10174"	"ENSG00000120896"	"SORBS3"
"195"	"221749"	"ENSG00000168994"	"PXDC1"
"196"	"894"	"ENSG00000118971"	"CCND2"
"197"	"27065"	"ENSG00000168824"	"NSG1"
"198"	"10000"	"ENSG00000117020"	"AKT3"
"199"	"8601"	"ENSG00000147509"	"RGS20"
"200"	"2167"	"ENSG00000170323"	"FABP4"
"201"	"56139"	"ENSG00000250120"	"PCDHA10"
"202"	"246"	"ENSG00000161905"	"ALOX15"
"203"	"9060"	"ENSG00000198682"	"PAPSS2"
"204"	"5836"	"ENSG00000100504"	"PYGL"
"205"	"753"	"ENSG00000168675"	"LDLRAD4"
"206"	"84959"	"ENSG00000154127"	"UBASH3B"
"207"	"55117"	"ENSG00000072041"	"SLC6A15"
"208"	"3910"	"ENSG00000112769"	"LAMA4"
"209"	"3202"	"ENSG00000106004"	"HOXA5"
"210"	"100506930"	"ENSG00000232677"	"LINC00665"
"211"	"57419"	"ENSG00000185052"	"SLC24A3"
"212"	"8091"	"ENSG00000149948"	"HMGA2"
"213"	"9070"	"ENSG00000129691"	"ASH2L"
"214"	"123"	"ENSG00000147872"	"PLIN2"
"215"	"7041"	"ENSG00000140682"	"TGFB1I1"
"216"	"22925"	"ENSG00000153246"	"PLA2R1"
"217"	"401546"	"ENSG00000188959"	"C9orf152"
"218"	"5228"	"ENSG00000119630"	"PGF"
"219"	NA	"ENSG00000251593"	NA
"220"	"3552"	"ENSG00000115008"	"IL1A"
"221"	"9751"	"ENSG00000101298"	"SNPH"
"222"	"27154"	"ENSG00000096070"	"BRPF3"
"223"	"23114"	"ENSG00000163531"	"NFASC"
"224"	"90338"	"ENSG00000170949"	"ZNF160"
"225"	"245"	"ENSG00000262943"	"ALOX12P2"
"226"	"3363"	"ENSG00000148680"	"HTR7"
"227"	"10602"	"ENSG00000163171"	"CDC42EP3"
"228"	"128077"	"ENSG00000271601"	"LIX1L"
"229"	"3489"	"ENSG00000167779"	"IGFBP6"
"230"	"85352"	"ENSG00000138944"	"SHISAL1"
"231"	"79901"	"ENSG00000071967"	"CYBRD1"
"232"	"256586"	"ENSG00000140280"	"LYSMD2"
"233"	"27350"	"ENSG00000244509"	"APOBEC3C"
"234"	"341640"	"ENSG00000150893"	"FREM2"
"235"	"7092"	"ENSG00000038295"	"TLL1"
"236"	"563"	"ENSG00000160862"	"AZGP1"
"237"	"166824"	"ENSG00000169435"	"RASSF6"
"238"	"23007"	"ENSG00000114805"	"PLCH1"
"239"	"128434"	"ENSG00000132821"	"VSTM2L"
"240"	"79784"	"ENSG00000105357"	"MYH14"
"241"	NA	"ENSG00000270069"	NA
"242"	"6925"	"ENSG00000196628"	"TCF4"
"243"	"199221"	"ENSG00000158163"	"DZIP1L"
"244"	"151887"	"ENSG00000091986"	"CCDC80"
"245"	"80345"	"ENSG00000196812"	"ZSCAN16"
"246"	"84622"	"ENSG00000180626"	"ZNF594"
"247"	"29969"	"ENSG00000135272"	"MDFIC"
"248"	"388558"	"ENSG00000198482"	"ZNF808"
"249"	"1512"	"ENSG00000103811"	"CTSH"
"250"	"4008"	"ENSG00000136153"	"LMO7"
"251"	"8796"	"ENSG00000136155"	"SCEL"
"252"	"960"	"ENSG00000026508"	"CD44"
"253"	"2066"	"ENSG00000178568"	"ERBB4"
"254"	"164832"	"ENSG00000170500"	"LONRF2"
"255"	"389136"	"ENSG00000206538"	"VGLL3"
"256"	"27303"	"ENSG00000144642"	"RBMS3"
"257"	"8714"	"ENSG00000108846"	"ABCC3"
"258"	"8436"	"ENSG00000168497"	"CAVIN2"
"259"	"2707"	"ENSG00000188910"	"GJB3"
"260"	"10479"	"ENSG00000198689"	"SLC9A6"
"261"	"55313"	"ENSG00000103381"	"CPPED1"
"262"	"22861"	"ENSG00000091592"	"NLRP1"
"263"	"100506305"	"ENSG00000251381"	"LINC00958"
"264"	NA	"ENSG00000279117"	NA
"265"	"29801"	"ENSG00000099904"	"ZDHHC8"
"266"	"5324"	"ENSG00000181690"	"PLAG1"
"267"	"79962"	"ENSG00000178401"	"DNAJC22"
"268"	"5275"	"ENSG00000197641"	"SERPINB13"
"269"	"7474"	"ENSG00000114251"	"WNT5A"
"270"	"5064"	"ENSG00000099864"	"PALM"
"271"	"27324"	"ENSG00000103460"	"TOX3"
"272"	"8690"	"ENSG00000183340"	"JRKL"
"273"	"9536"	"ENSG00000148344"	"PTGES"
"274"	"134548"	"ENSG00000198944"	"SOWAHA"
"275"	"3382"	"ENSG00000003147"	"ICA1"
"276"	"2247"	"ENSG00000138685"	"FGF2"
"277"	"79890"	"ENSG00000100599"	"RIN3"
"278"	"8793"	"ENSG00000173530"	"TNFRSF10D"
"279"	"101929520"	"ENSG00000235687"	"LINC00993"
"280"	"5797"	"ENSG00000173482"	"PTPRM"
"281"	"51316"	"ENSG00000145287"	"PLAC8"
"282"	"170958"	"ENSG00000203326"	"ZNF525"
"283"	"22979"	"ENSG00000084710"	"EFR3B"
"284"	"144402"	"ENSG00000139117"	"CPNE8"
"285"	"27330"	"ENSG00000072133"	"RPS6KA6"
"286"	"55762"	"ENSG00000167562"	"ZNF701"
"287"	"7113"	"ENSG00000184012"	"TMPRSS2"
"288"	"54898"	"ENSG00000197977"	"ELOVL2"
"289"	"8838"	"ENSG00000112761"	"CCN6"
"290"	"57530"	"ENSG00000143375"	"CGN"
"291"	"321"	"ENSG00000034053"	"APBA2"
"292"	"55862"	"ENSG00000093144"	"ECHDC1"
"293"	"84981"	"ENSG00000186594"	"MIR22HG"
"294"	"56137"	"ENSG00000251664"	"PCDHA12"
"295"	"1606"	"ENSG00000065357"	"DGKA"
"296"	"8972"	"ENSG00000257335"	"MGAM"
"297"	"1612"	"ENSG00000196730"	"DAPK1"
"298"	"53905"	"ENSG00000137857"	"DUOX1"
"299"	"5017"	"ENSG00000172818"	"OVOL1"
"300"	"119548"	"ENSG00000203837"	"PNLIPRP3"
"301"	"8828"	"ENSG00000118257"	"NRP2"
"302"	"26027"	"ENSG00000162390"	"ACOT11"
"303"	"5268"	"ENSG00000206075"	"SERPINB5"
"304"	"80114"	"ENSG00000122870"	"BICC1"
"305"	"9435"	"ENSG00000175040"	"CHST2"
"306"	"55930"	"ENSG00000128833"	"MYO5C"
"307"	"4907"	"ENSG00000135318"	"NT5E"
"308"	"8061"	"ENSG00000175592"	"FOSL1"
"309"	"4036"	"ENSG00000081479"	"LRP2"
"310"	"558"	"ENSG00000167601"	"AXL"
"311"	"1501"	"ENSG00000169862"	"CTNND2"
"312"	"79986"	"ENSG00000242779"	"ZNF702P"
"313"	"64859"	"ENSG00000173559"	"NABP1"
"314"	"171523"	"ENSG00000233622"	"CYP2T1P"
"315"	"374383"	"ENSG00000188211"	"NCR3LG1"
"316"	"152189"	"ENSG00000170293"	"CMTM8"
"317"	"254827"	"ENSG00000177694"	"NAALADL2"
"318"	"23089"	"ENSG00000242265"	"PEG10"
"319"	"148252"	"ENSG00000176490"	"DIRAS1"
"320"	"140885"	"ENSG00000198053"	"SIRPA"
"321"	"7136"	"ENSG00000130598"	"TNNI2"
"322"	"1284"	"ENSG00000134871"	"COL4A2"
"323"	"9865"	"ENSG00000255690"	"TRIL"
"324"	"399959"	"ENSG00000255248"	"MIR100HG"
"325"	"3798"	"ENSG00000155980"	"KIF5A"
"326"	"133584"	"ENSG00000164318"	"EGFLAM"
"327"	"10475"	"ENSG00000112343"	"TRIM38"
"328"	"26240"	"ENSG00000145945"	"FAM50B"
"329"	"728113"	"ENSG00000264230"	"ANXA8L1"
"330"	"29993"	"ENSG00000124507"	"PACSIN1"
"331"	"51186"	"ENSG00000185222"	"TCEAL9"
"332"	"221120"	"ENSG00000166199"	"ALKBH3"
"333"	"219833"	"ENSG00000174370"	"C11orf45"
"334"	"6507"	"ENSG00000079215"	"SLC1A3"
"335"	"219855"	"ENSG00000134955"	"SLC37A2"
"336"	"84557"	"ENSG00000101460"	"MAP1LC3A"
"337"	"54742"	"ENSG00000160886"	"LY6K"
"338"	"65268"	"ENSG00000165238"	"WNK2"
"339"	"169611"	"ENSG00000185585"	"OLFML2A"
"340"	"23052"	"ENSG00000149218"	"ENDOD1"
"341"	"51200"	"ENSG00000128510"	"CPA4"
"342"	"642587"	"ENSG00000230937"	"MIR205HG"
"343"	"8764"	"ENSG00000157873"	"TNFRSF14"
"344"	"231"	"ENSG00000085662"	"AKR1B1"
"345"	"375061"	"ENSG00000182118"	"FAM89A"
"346"	"79705"	"ENSG00000154237"	"LRRK1"
"347"	"222389"	"ENSG00000165626"	"BEND7"
"348"	"653145"	"ENSG00000265190"	"ANXA8"
"349"	"8572"	"ENSG00000131435"	"PDLIM4"
"350"	"7099"	"ENSG00000136869"	"TLR4"
"351"	"54894"	"ENSG00000108375"	"RNF43"
"352"	"7991"	"ENSG00000104723"	"TUSC3"
"353"	"100506311"	"ENSG00000233429"	"HOTAIRM1"
"354"	"148327"	"ENSG00000143578"	"CREB3L4"
"355"	NA	"ENSG00000251095"	NA
"356"	"55901"	"ENSG00000136114"	"THSD1"
"357"	"284119"	"ENSG00000177469"	"CAVIN1"
"358"	"4313"	"ENSG00000087245"	"MMP2"
"359"	"135293"	"ENSG00000146281"	"PM20D2"
"360"	"51087"	"ENSG00000006047"	"YBX2"
"361"	"125893"	"ENSG00000180257"	"ZNF816"
"362"	"53833"	"ENSG00000174564"	"IL20RB"
"363"	"132671"	"ENSG00000163071"	"SPATA18"
"364"	"2039"	"ENSG00000158856"	"DMTN"
"365"	"4311"	"ENSG00000196549"	"MME"
"366"	"79987"	"ENSG00000165124"	"SVEP1"
"367"	"26022"	"ENSG00000006042"	"TMEM98"
"368"	"118430"	"ENSG00000172551"	"MUCL1"
"369"	"91624"	"ENSG00000162614"	"NEXN"
"370"	"10170"	"ENSG00000073737"	"DHRS9"
"371"	"79776"	"ENSG00000091656"	"ZFHX4"
"372"	"154214"	"ENSG00000146373"	"RNF217"
"373"	"2674"	"ENSG00000151892"	"GFRA1"
"374"	"3899"	"ENSG00000144218"	"AFF3"
"375"	"7091"	"ENSG00000106829"	"TLE4"
"376"	"83857"	"ENSG00000133687"	"TMTC1"
"377"	"10570"	"ENSG00000151640"	"DPYSL4"
"378"	"1825"	"ENSG00000134762"	"DSC3"
"379"	"283987"	"ENSG00000167861"	"HID1"
"380"	"217"	"ENSG00000111275"	"ALDH2"
"381"	"91120"	"ENSG00000197124"	"ZNF682"
"382"	NA	"ENSG00000218014"	NA
"383"	"23228"	"ENSG00000154822"	"PLCL2"
"384"	"171019"	"ENSG00000145808"	"ADAMTS19"
"385"	"57480"	"ENSG00000120278"	"PLEKHG1"
"386"	"2203"	"ENSG00000165140"	"FBP1"
"387"	"4811"	"ENSG00000116962"	"NID1"
"388"	"800"	"ENSG00000122786"	"CALD1"
"389"	"339263"	"ENSG00000212719"	"LINC02693"
"390"	"83481"	"ENSG00000261150"	"EPPK1"
"391"	"124975"	"ENSG00000167741"	"GGT6"
"392"	"2113"	"ENSG00000134954"	"ETS1"
"393"	"54855"	"ENSG00000183508"	"TENT5C"
"394"	"124961"	"ENSG00000180787"	"ZFP3"
"395"	"3670"	"ENSG00000016082"	"ISL1"
"396"	"80095"	"ENSG00000166704"	"ZNF606"
"397"	"272"	"ENSG00000133805"	"AMPD3"
"398"	"203286"	"ENSG00000165138"	"ANKS6"
"399"	"9368"	"ENSG00000109062"	"SLC9A3R1"
"400"	"64411"	"ENSG00000120318"	"ARAP3"
"401"	"5028"	"ENSG00000169860"	"P2RY1"
"402"	"56105"	"ENSG00000253873"	"PCDHGA11"
"403"	"54887"	"ENSG00000065060"	"UHRF1BP1"
"404"	"5587"	"ENSG00000184304"	"PRKD1"
"405"	NA	"ENSG00000244468"	NA
"406"	"90102"	"ENSG00000144824"	"PHLDB2"
"407"	"105370479"	"ENSG00000258616"	"LINC02303"
"408"	"958"	"ENSG00000101017"	"CD40"
"409"	"116442"	"ENSG00000155961"	"RAB39B"
"410"	NA	"ENSG00000230439"	NA
"411"	"440335"	"ENSG00000267795"	"SMIM22"
"412"	NA	"ENSG00000253570"	NA
"413"	"586"	"ENSG00000060982"	"BCAT1"
"414"	"10253"	"ENSG00000136158"	"SPRY2"
"415"	"1282"	"ENSG00000187498"	"COL4A1"
"416"	"5588"	"ENSG00000065675"	"PRKCQ"
"417"	"4072"	"ENSG00000119888"	"EPCAM"
"418"	"84617"	"ENSG00000176014"	"TUBB6"
"419"	"283314"	"ENSG00000205885"	"C1RL-AS1"
"420"	"10186"	"ENSG00000183722"	"LHFPL6"
"421"	"81563"	"ENSG00000116667"	"C1orf21"
"422"	"57633"	"ENSG00000175928"	"LRRN1"
"423"	"978"	"ENSG00000158825"	"CDA"
"424"	"139411"	"ENSG00000165186"	"PTCHD1"
"425"	"5446"	"ENSG00000105852"	"PON3"
"426"	"259173"	"ENSG00000178038"	"ALS2CL"
"427"	"143686"	"ENSG00000149212"	"SESN3"
"428"	NA	"ENSG00000184100"	NA
"429"	"129293"	"ENSG00000186854"	"TRABD2A"
"431"	"5099"	"ENSG00000169851"	"PCDH7"
"432"	"89796"	"ENSG00000134369"	"NAV1"
"433"	"90019"	"ENSG00000149043"	"SYT8"
"434"	"8710"	"ENSG00000166396"	"SERPINB7"
"435"	"164091"	"ENSG00000182749"	"PAQR7"
"436"	"163702"	"ENSG00000185436"	"IFNLR1"
"437"	"352962"	"ENSG00000181126"	"HLA-V"
"438"	"84674"	"ENSG00000132357"	"CARD6"
"439"	"5863"	"ENSG00000237441"	"RGL2"
"440"	"85004"	"ENSG00000134533"	"RERG"
"441"	"55214"	"ENSG00000090530"	"P3H2"
"442"	"2300"	"ENSG00000176678"	"FOXL1"
"443"	"196051"	"ENSG00000203805"	"PLPP4"
"444"	"55784"	"ENSG00000140563"	"MCTP2"
"445"	"56911"	"ENSG00000156265"	"MAP3K7CL"
"446"	"57823"	"ENSG00000026751"	"SLAMF7"
"447"	"10644"	"ENSG00000073792"	"IGF2BP2"
"448"	"2155"	"ENSG00000057593"	"F7"
"449"	"4188"	"ENSG00000112559"	"MDFI"
"450"	"5241"	"ENSG00000082175"	"PGR"
"451"	"3198"	"ENSG00000105991"	"HOXA1"
"452"	"2264"	"ENSG00000160867"	"FGFR4"
"453"	"2034"	"ENSG00000116016"	"EPAS1"
"454"	"3200"	"ENSG00000105997"	"HOXA3"
"455"	"79413"	"ENSG00000177494"	"ZBED2"
"456"	"85439"	"ENSG00000140022"	"STON2"
"457"	"2191"	"ENSG00000078098"	"FAP"
"458"	"7617"	"ENSG00000160229"	"ZNF66"
"459"	"6446"	"ENSG00000118515"	"SGK1"
"460"	"28232"	"ENSG00000176463"	"SLCO3A1"
"461"	"319089"	"ENSG00000139865"	"TTC6"
"462"	"645553"	"ENSG00000268621"	"IGFL2-AS1"
"463"	"2131"	"ENSG00000182197"	"EXT1"
"464"	"8418"	"ENSG00000168405"	"CMAHP"
"465"	"54848"	"ENSG00000236699"	"ARHGEF38"
"466"	"2769"	"ENSG00000060558"	"GNA15"
"467"	"55106"	"ENSG00000172123"	"SLFN12"
"468"	"26149"	"ENSG00000274349"	"ZNF658"
"469"	"146439"	"ENSG00000162069"	"BICDL2"
"470"	"5744"	"ENSG00000087494"	"PTHLH"
"471"	"201266"	"ENSG00000133195"	"SLC39A11"
"472"	"255928"	"ENSG00000143469"	"SYT14"
"473"	"2274"	"ENSG00000115641"	"FHL2"
"474"	"3772"	"ENSG00000157551"	"KCNJ15"
"475"	"79919"	"ENSG00000172478"	"MAB21L4"
"476"	"10343"	"ENSG00000130943"	"PKDREJ"
"477"	"414777"	"ENSG00000231074"	"HCG18"
"478"	"79937"	"ENSG00000106714"	"CNTNAP3"
"479"	"1647"	"ENSG00000116717"	"GADD45A"
"480"	NA	"ENSG00000261786"	NA
"481"	"100505738"	"ENSG00000247516"	"MIR4458HG"
"482"	"51015"	"ENSG00000066583"	"ISOC1"
"483"	"118738"	"ENSG00000265763"	"ZNF488"
"484"	"390927"	"ENSG00000188227"	"ZNF793"
"485"	NA	"ENSG00000255364"	NA
"486"	"6783"	"ENSG00000109193"	"SULT1E1"
"487"	"147686"	"ENSG00000196724"	"ZNF418"
"488"	NA	"ENSG00000254615"	NA
"489"	"9912"	"ENSG00000006740"	"ARHGAP44"
"490"	"29968"	"ENSG00000135069"	"PSAT1"
"491"	"84062"	"ENSG00000047579"	"DTNBP1"
"492"	"23179"	"ENSG00000143344"	"RGL1"
"493"	"9"	"ENSG00000171428"	"NAT1"
"494"	"8531"	"ENSG00000060138"	"YBX3"
"495"	"2303"	"ENSG00000176692"	"FOXC2"
"496"	"93145"	"ENSG00000105088"	"OLFM2"
"497"	"1475"	"ENSG00000121552"	"CSTA"
"498"	"7052"	"ENSG00000198959"	"TGM2"
"499"	"79780"	"ENSG00000149231"	"CCDC82"
"500"	"30061"	"ENSG00000138449"	"SLC40A1"
"501"	"101928687"	"ENSG00000231131"	"LNCAROD"
"503"	"857"	"ENSG00000105974"	"CAV1"
"504"	"55351"	"ENSG00000152953"	"STK32B"
"505"	"55384"	"ENSG00000214548"	"MEG3"
"506"	"10279"	"ENSG00000112812"	"PRSS16"
