"gene_id"	"brief.description"
"200"	"FBgn0000592"	""
"201"	"FBgn0000594"	""
"202"	"FBgn0000606"	""
"203"	"FBgn0000611"	""
"204"	"FBgn0000615"	""
"205"	"FBgn0000617"	""
"206"	"FBgn0000618"	""
"207"	"FBgn0000625"	""
"208"	"FBgn0000629"	""
"209"	"FBgn0000633"	""
"210"	"FBgn0000635"	""
"211"	"FBgn0000636"	""
"212"	"FBgn0000639"	""
"213"	"FBgn0000640"	""
"214"	"FBgn0000644"	""
"215"	"FBgn0000658"	""
"216"	"FBgn0000659"	""
"217"	"FBgn0000662"	""
"218"	"FBgn0000667"	""
"219"	"FBgn0000709"	""
"220"	"FBgn0000711"	""
"221"	"FBgn0000715"	""
"222"	"FBgn0000719"	""
"223"	"FBgn0000721"	""
"224"	"FBgn0000723"	""
"225"	"FBgn0000808"	""
"226"	"FBgn0000810"	""
"227"	"FBgn0000826"	""
"228"	"FBgn0000927"	""
"229"	"FBgn0000928"	""
"230"	"FBgn0000964"	""
"231"	"FBgn0000996"	""
"232"	"FBgn0001075"	""
"233"	"FBgn0001077"	""
"234"	"FBgn0001078"	""
"235"	"FBgn0001079"	""
"236"	"FBgn0001083"	""
"237"	"FBgn0001084"	""
"238"	"FBgn0001085"	""
"239"	"FBgn0001086"	""
"240"	"FBgn0001087"	""
"241"	"FBgn0001089"	""
"242"	"FBgn0001090"	""
"243"	"FBgn0001091"	""
"244"	"FBgn0001092"	""
"245"	"FBgn0001098"	""
"246"	"FBgn0001099"	""
"247"	"FBgn0001104"	""
"248"	"FBgn0001105"	""
"249"	"FBgn0001108"	""
"250"	"FBgn0001112"	""
"251"	"FBgn0001114"	""
"252"	"FBgn0001120"	""
"253"	"FBgn0001122"	""
"254"	"FBgn0001123"	""
"255"	"FBgn0001124"	""
"256"	"FBgn0001125"	""
"257"	"FBgn0001128"	""
"258"	"FBgn0001133"	""
"259"	"FBgn0001134"	""
"260"	"FBgn0001137"	""
"261"	"FBgn0001138"	""
"262"	"FBgn0001139"	""
"263"	"FBgn0001142"	""
"264"	"FBgn0001145"	""
"265"	"FBgn0001147"	""
"266"	"FBgn0001148"	""
"267"	"FBgn0001149"	""
"268"	"FBgn0001150"	""
"269"	"FBgn0001168"	""
"270"	"FBgn0001169"	""
"271"	"FBgn0001170"	""
"272"	"FBgn0001174"	""
"273"	"FBgn0001179"	""
"274"	"FBgn0001180"	""
"275"	"FBgn0001185"	""
"276"	"FBgn0001186"	""
"277"	"FBgn0001187"	""
"278"	"FBgn0001189"	""
"279"	"FBgn0001195"	""
"280"	"FBgn0001196"	""
"281"	"FBgn0001197"	""
"282"	"FBgn0001198"	""
"283"	"FBgn0001199"	""
"284"	"FBgn0001200"	""
"285"	"FBgn0001202"	""
"286"	"FBgn0001206"	""
"287"	"FBgn0001208"	""
"288"	"FBgn0001215"	""
"289"	"FBgn0001216"	""
"290"	"FBgn0001217"	""
"291"	"FBgn0001218"	""
"292"	"FBgn0001220"	""
"293"	"FBgn0001222"	""
"294"	"FBgn0001223"	""
"295"	"FBgn0001224"	""
"296"	"FBgn0001225"	""
"297"	"FBgn0001226"	""
"298"	"FBgn0001227"	""
"299"	"FBgn0001228"	""
"300"	"FBgn0001229"	""
"301"	"FBgn0001230"	""
"302"	"FBgn0001233"	""
"303"	"FBgn0001234"	""
"304"	"FBgn0001235"	""
"305"	"FBgn0001247"	""
"306"	"FBgn0001248"	""
"307"	"FBgn0001250"	""
"308"	"FBgn0001253"	""
"309"	"FBgn0001254"	""
"310"	"FBgn0001255"	""
"311"	"FBgn0001256"	""
"312"	"FBgn0001257"	""
"313"	"FBgn0001258"	""
"314"	"FBgn0001259"	""
"315"	"FBgn0001263"	""
"316"	"FBgn0001269"	""
"317"	"FBgn0001276"	""
"318"	"FBgn0001280"	""
"319"	"FBgn0001281"	""
"320"	"FBgn0001285"	""
"321"	"FBgn0001291"	""
"322"	"FBgn0001296"	""
"323"	"FBgn0001297"	""
"324"	"FBgn0001301"	""
"325"	"FBgn0001308"	""
"326"	"FBgn0001311"	""
"327"	"FBgn0001313"	""
"328"	"FBgn0001316"	""
"329"	"FBgn0001319"	""
"330"	"FBgn0001320"	""
"331"	"FBgn0001321"	""
"332"	"FBgn0001323"	""
"333"	"FBgn0001324"	""
"334"	"FBgn0001325"	""
"335"	"FBgn0001330"	""
"336"	"FBgn0001341"	""
"337"	"FBgn0001404"	""
"338"	"FBgn0001491"	""
"339"	"FBgn0001565"	""
"340"	"FBgn0001612"	""
"341"	"FBgn0001624"	""
"342"	"FBgn0001941"	""
"343"	"FBgn0001942"	""
"344"	"FBgn0001961"	""
"345"	"FBgn0001965"	""
"346"	"FBgn0001967"	""
"347"	"FBgn0001970"	""
"348"	"FBgn0001974"	""
"349"	"FBgn0001977"	""
"350"	"FBgn0001978"	""
"351"	"FBgn0001981"	""
"352"	"FBgn0001983"	""
"353"	"FBgn0001986"	""
"354"	"FBgn0001987"	""
"355"	"FBgn0001989"	""
"356"	"FBgn0001990"	""
"357"	"FBgn0001991"	""
"358"	"FBgn0001992"	""
"359"	"FBgn0001994"	""
"360"	"FBgn0001995"	""
"361"	"FBgn0002021"	""
"362"	"FBgn0002022"	""
"363"	"FBgn0002023"	""
"364"	"FBgn0002031"	""
"365"	"FBgn0002036"	""
"366"	"FBgn0002044"	""
"367"	"FBgn0002069"	""
"368"	"FBgn0002121"	""
"369"	"FBgn0002174"	""
"370"	"FBgn0002183"	""
"371"	"FBgn0002283"	""
"372"	"FBgn0002284"	""
"373"	"FBgn0002306"	""
"374"	"FBgn0002354"	""
"375"	"FBgn0002413"	""
"376"	"FBgn0002431"	""
"377"	"FBgn0002440"	""
"378"	"FBgn0002441"	""
"379"	"FBgn0002466"	""
"380"	"FBgn0002521"	""
"381"	"FBgn0002522"	""
"382"	"FBgn0002524"	""
"383"	"FBgn0002525"	""
"384"	"FBgn0002526"	""
"385"	"FBgn0002531"	""
"386"	"FBgn0002533"	""
"387"	"FBgn0002534"	""
"388"	"FBgn0002535"	""
"389"	"FBgn0002542"	""
"390"	"FBgn0002543"	""
"391"	"FBgn0002552"	""
"392"	"FBgn0002561"	""
"393"	"FBgn0002562"	""
"394"	"FBgn0002563"	""
"395"	"FBgn0002564"	""
"396"	"FBgn0002565"	""
"397"	"FBgn0002566"	""
"398"	"FBgn0002567"	""
"399"	"FBgn0002569"	""
"400"	"FBgn0002570"	""
"401"	"FBgn0002571"	""
"402"	"FBgn0002573"	""
"403"	"FBgn0002576"	""
"404"	"FBgn0002577"	""
"405"	"FBgn0002578"	""
"406"	"FBgn0002579"	""
"407"	"FBgn0002590"	""
"408"	"FBgn0002592"	""
"409"	"FBgn0002593"	""
"410"	"FBgn0002609"	""
"411"	"FBgn0002622"	""
"412"	"FBgn0002626"	""
"413"	"FBgn0002629"	""
"414"	"FBgn0002631"	""
"415"	"FBgn0002632"	""
"416"	"FBgn0002633"	""
"417"	"FBgn0002638"	""
"418"	"FBgn0002641"	""
"419"	"FBgn0002643"	""
"420"	"FBgn0002645"	""
"421"	"FBgn0002673"	""
"422"	"FBgn0002707"	""
"423"	"FBgn0002709"	""
"424"	"FBgn0002715"	""
"425"	"FBgn0002716"	""
"426"	"FBgn0002719"	""
"427"	"FBgn0002723"	""
"428"	"FBgn0002732"	""
"429"	"FBgn0002733"	""
"430"	"FBgn0002734"	""
"431"	"FBgn0002735"	""
"432"	"FBgn0002736"	""
"433"	"FBgn0002772"	""
"434"	"FBgn0002773"	""
"435"	"FBgn0002774"	""
"436"	"FBgn0002775"	""
"437"	"FBgn0002778"	""
"438"	"FBgn0002780"	""
"439"	"FBgn0002781"	""
"440"	"FBgn0002783"	""
"441"	"FBgn0002787"	""
"442"	"FBgn0002789"	""
"443"	"FBgn0002791"	""
"444"	"FBgn0002838"	""
"445"	"FBgn0002842"	""
"446"	"FBgn0002855"	""
"447"	"FBgn0002856"	""
"448"	"FBgn0002862"	""
"449"	"FBgn0002863"	""
"450"	"FBgn0002865"	""
"451"	"FBgn0002868"	""
"452"	"FBgn0002869"	""
"453"	"FBgn0002872"	""
"454"	"FBgn0002873"	""
"455"	"FBgn0002878"	""
"456"	"FBgn0002887"	""
"457"	"FBgn0002891"	""
"458"	"FBgn0002899"	""
"459"	"FBgn0002901"	""
"460"	"FBgn0002905"	""
"461"	"FBgn0002906"	""
"462"	"FBgn0002909"	""
"463"	"FBgn0002914"	""
"464"	"FBgn0002917"	""
"465"	"FBgn0002921"	""
"466"	"FBgn0002922"	""
"467"	"FBgn0002924"	""
"468"	"FBgn0002926"	""
"469"	"FBgn0002930"	""
"470"	"FBgn0002931"	""
"471"	"FBgn0002932"	""
"472"	"FBgn0002933"	""
"473"	"FBgn0002936"	""
"474"	"FBgn0002937"	""
"475"	"FBgn0002938"	""
"476"	"FBgn0002939"	""
"477"	"FBgn0002940"	""
"478"	"FBgn0002941"	""
"479"	"FBgn0002945"	""
"480"	"FBgn0002948"	""
"481"	"FBgn0002962"	""
"482"	"FBgn0002973"	""
"483"	"FBgn0002985"	""
"484"	"FBgn0002989"	""
"485"	"FBgn0003002"	""
"486"	"FBgn0003008"	""
"487"	"FBgn0003009"	""
"488"	"FBgn0003011"	""
"489"	"FBgn0003015"	""
"490"	"FBgn0003016"	""
"491"	"FBgn0003023"	""
"492"	"FBgn0003028"	""
"493"	"FBgn0003034"	""
"494"	"FBgn0003041"	""
"495"	"FBgn0003042"	""
"496"	"FBgn0003044"	""
"497"	"FBgn0003046"	""
"498"	"FBgn0003048"	""
"499"	"FBgn0003053"	""
"500"	"FBgn0003057"	""
"501"	"FBgn0003060"	""
"502"	"FBgn0003062"	""
"503"	"FBgn0003065"	""
"504"	"FBgn0003067"	""
"505"	"FBgn0003068"	""
"506"	"FBgn0003071"	""
"507"	"FBgn0003074"	""
"508"	"FBgn0003076"	""
"509"	"FBgn0003079"	""
"510"	"FBgn0003082"	""
"511"	"FBgn0003086"	""
"512"	"FBgn0003087"	""
"513"	"FBgn0003089"	""
"514"	"FBgn0003090"	""
"515"	"FBgn0003091"	""
"516"	"FBgn0003093"	""
"517"	"FBgn0003114"	""
"518"	"FBgn0003116"	""
"519"	"FBgn0003117"	""
"520"	"FBgn0003118"	""
"521"	"FBgn0003124"	""
"522"	"FBgn0003129"	""
"523"	"FBgn0003130"	""
"524"	"FBgn0003132"	""
"525"	"FBgn0003134"	""
"526"	"FBgn0003137"	""
"527"	"FBgn0003139"	""
"528"	"FBgn0003140"	""
"529"	"FBgn0003141"	""
"530"	"FBgn0003145"	""
"531"	"FBgn0003149"	""
"532"	"FBgn0003159"	""
"533"	"FBgn0003162"	""
"534"	"FBgn0003165"	""
"535"	"FBgn0003169"	""
"536"	"FBgn0003174"	""
"537"	"FBgn0003175"	""
"538"	"FBgn0003187"	""
"539"	"FBgn0003189"	""
"540"	"FBgn0003204"	""
"541"	"FBgn0003205"	""
"542"	"FBgn0003206"	""
"543"	"FBgn0003209"	""
"544"	"FBgn0003210"	""
"545"	"FBgn0003218"	""
"546"	"FBgn0003227"	""
"547"	"FBgn0003231"	""
"548"	"FBgn0003248"	""
"549"	"FBgn0003249"	""
"550"	"FBgn0003250"	""
"551"	"FBgn0003254"	""
"552"	"FBgn0003255"	""
"553"	"FBgn0003256"	""
"554"	"FBgn0003257"	""
"555"	"FBgn0003261"	""
"556"	"FBgn0003267"	""
"557"	"FBgn0003268"	""
"558"	"FBgn0003270"	""
"559"	"FBgn0003274"	""
"560"	"FBgn0003275"	""
"561"	"FBgn0003277"	""
"562"	"FBgn0003278"	""
"563"	"FBgn0003279"	""
"564"	"FBgn0003285"	""
"565"	"FBgn0003292"	""
"566"	"FBgn0003295"	""
"567"	"FBgn0003300"	""
"568"	"FBgn0003301"	""
"569"	"FBgn0003302"	""
"570"	"FBgn0003308"	""
"571"	"FBgn0003310"	""
"572"	"FBgn0003312"	""
"573"	"FBgn0003313"	""
"574"	"FBgn0003317"	""
"575"	"FBgn0003319"	""
"576"	"FBgn0003321"	""
"577"	"FBgn0003326"	""
"578"	"FBgn0003328"	""
"579"	"FBgn0003330"	""
"580"	"FBgn0003334"	""
"581"	"FBgn0003339"	""
"582"	"FBgn0003345"	""
"583"	"FBgn0003346"	""
"584"	"FBgn0003353"	""
"585"	"FBgn0003356"	""
"586"	"FBgn0003357"	""
"587"	"FBgn0003358"	""
"588"	"FBgn0003360"	""
"589"	"FBgn0003366"	""
"590"	"FBgn0003371"	""
"591"	"FBgn0003372"	""
"592"	"FBgn0003373"	""
"593"	"FBgn0003374"	""
"594"	"FBgn0003375"	""
"595"	"FBgn0003377"	""
"596"	"FBgn0003378"	""
"597"	"FBgn0003380"	""
"598"	"FBgn0003382"	""
"599"	"FBgn0003386"	""
"600"	"FBgn0003388"	""
"601"	"FBgn0003390"	""
"602"	"FBgn0003391"	""
"603"	"FBgn0003392"	""
"604"	"FBgn0003396"	""
"605"	"FBgn0003401"	""
"606"	"FBgn0003410"	""
"607"	"FBgn0003411"	""
"608"	"FBgn0003415"	""
"609"	"FBgn0003416"	""
"610"	"FBgn0003423"	""
"611"	"FBgn0003429"	""
"612"	"FBgn0003430"	""
"613"	"FBgn0003435"	""
"614"	"FBgn0003444"	""
"615"	"FBgn0003447"	""
"616"	"FBgn0003448"	""
"617"	"FBgn0003449"	""
"618"	"FBgn0003450"	""
"619"	"FBgn0003459"	""
"620"	"FBgn0003460"	""
"621"	"FBgn0003462"	""
"622"	"FBgn0003463"	""
"623"	"FBgn0003464"	""
"624"	"FBgn0003475"	""
"625"	"FBgn0003479"	""
"626"	"FBgn0003480"	""
"627"	"FBgn0003482"	""
"628"	"FBgn0003483"	""
"629"	"FBgn0003486"	""
"630"	"FBgn0003495"	""
"631"	"FBgn0003499"	""
"632"	"FBgn0003502"	""
"633"	"FBgn0003507"	""
"634"	"FBgn0003510"	""
"635"	"FBgn0003511"	""
"636"	"FBgn0003512"	""
"637"	"FBgn0003513"	""
"638"	"FBgn0003514"	""
"639"	"FBgn0003515"	""
"640"	"FBgn0003517"	""
"641"	"FBgn0003520"	""
"642"	"FBgn0003525"	""
"643"	"FBgn0003527"	""
"644"	"FBgn0003545"	""
"645"	"FBgn0003557"	""
"646"	"FBgn0003559"	""
"647"	"FBgn0003567"	""
"648"	"FBgn0003575"	""
"649"	"FBgn0003598"	""
"650"	"FBgn0003607"	""
"651"	"FBgn0003612"	""
"652"	"FBgn0003638"	""
"653"	"FBgn0003651"	""
"654"	"FBgn0003654"	""
"655"	"FBgn0003655"	""
"656"	"FBgn0003656"	""
"657"	"FBgn0003660"	""
"658"	"FBgn0003676"	""
"659"	"FBgn0003683"	""
"660"	"FBgn0003687"	""
"661"	"FBgn0003701"	""
"662"	"FBgn0003710"	""
"663"	"FBgn0003714"	""
"664"	"FBgn0003716"	""
"665"	"FBgn0003719"	""
"666"	"FBgn0003720"	""
"667"	"FBgn0003721"	""
"668"	"FBgn0003731"	""
"669"	"FBgn0003733"	""
"670"	"FBgn0003741"	""
"671"	"FBgn0003742"	""
"672"	"FBgn0003744"	""
"673"	"FBgn0003747"	""
"674"	"FBgn0003748"	""
"675"	"FBgn0003751"	""
"676"	"FBgn0003861"	""
"677"	"FBgn0003862"	""
"678"	"FBgn0003863"	""
"679"	"FBgn0003865"	""
"680"	"FBgn0003866"	""
"681"	"FBgn0003867"	""
"682"	"FBgn0003870"	""
"683"	"FBgn0003882"	""
"684"	"FBgn0003884"	""
"685"	"FBgn0003885"	""
"686"	"FBgn0003886"	""
"687"	"FBgn0003888"	""
"688"	"FBgn0003889"	""
"689"	"FBgn0003890"	""
"690"	"FBgn0003891"	""
"691"	"FBgn0003892"	""
"692"	"FBgn0003896"	""
"693"	"FBgn0003900"	""
"694"	"FBgn0003916"	""
"695"	"FBgn0003920"	""
"696"	"FBgn0003922"	""
"697"	"FBgn0003923"	""
"698"	"FBgn0003926"	""
"699"	"FBgn0003930"	""
"700"	"FBgn0003931"	""
"701"	"FBgn0003933"	""
"702"	"FBgn0003934"	""
"703"	"FBgn0003935"	""
"704"	"FBgn0003936"	""
"705"	"FBgn0003938"	""
"706"	"FBgn0003941"	""
"707"	"FBgn0003942"	""
"708"	"FBgn0003943"	""
"709"	"FBgn0003944"	""
"710"	"FBgn0003950"	""
"711"	"FBgn0003961"	""
"712"	"FBgn0003963"	""
"713"	"FBgn0003964"	""
"714"	"FBgn0003965"	""
"715"	"FBgn0003969"	""
"716"	"FBgn0003975"	""
"717"	"FBgn0003977"	""
"718"	"FBgn0003978"	""
"719"	"FBgn0003979"	""
"720"	"FBgn0003980"	""
"721"	"FBgn0003983"	""
"722"	"FBgn0003984"	""
"723"	"FBgn0003996"	""
"724"	"FBgn0003997"	""
"725"	"FBgn0004003"	""
"726"	"FBgn0004034"	""
"727"	"FBgn0004045"	""
"728"	"FBgn0004047"	""
"729"	"FBgn0004049"	""
"730"	"FBgn0004050"	""
"731"	"FBgn0004052"	""
"732"	"FBgn0004053"	""
"733"	"FBgn0004054"	""
"734"	"FBgn0004055"	""
"735"	"FBgn0004057"	""
"736"	"FBgn0004066"	""
"737"	"FBgn0004087"	""
"738"	"FBgn0004101"	""
"739"	"FBgn0004102"	""
"740"	"FBgn0004103"	""
"741"	"FBgn0004106"	""
"742"	"FBgn0004107"	""
"743"	"FBgn0004108"	""
"744"	"FBgn0004110"	""
"745"	"FBgn0004117"	""
"746"	"FBgn0004118"	""
"747"	"FBgn0004132"	""
"748"	"FBgn0004133"	""
"749"	"FBgn0004143"	""
"750"	"FBgn0004167"	""
"751"	"FBgn0004168"	""
"752"	"FBgn0004169"	""
"753"	"FBgn0004170"	""
"754"	"FBgn0004171"	""
"755"	"FBgn0004172"	""
"756"	"FBgn0004173"	""
"757"	"FBgn0004174"	""
"758"	"FBgn0004175"	""
"759"	"FBgn0004177"	""
"760"	"FBgn0004179"	""
"761"	"FBgn0004181"	""
"762"	"FBgn0004183"	""
"763"	"FBgn0004185"	""
"764"	"FBgn0004186"	""
"765"	"FBgn0004187"	""
"766"	"FBgn0004188"	""
"767"	"FBgn0004189"	""
"768"	"FBgn0004190"	""
"769"	"FBgn0004191"	""
"770"	"FBgn0004192"	""
"771"	"FBgn0004197"	""
"772"	"FBgn0004198"	""
"773"	"FBgn0004227"	""
"774"	"FBgn0004228"	""
"775"	"FBgn0004237"	""
"776"	"FBgn0004240"	""
"777"	"FBgn0004242"	""
"778"	"FBgn0004244"	""
"779"	"FBgn0004359"	""
"780"	"FBgn0004360"	""
"781"	"FBgn0004362"	""
"782"	"FBgn0004363"	""
"783"	"FBgn0004364"	""
"784"	"FBgn0004367"	""
"785"	"FBgn0004368"	""
"786"	"FBgn0004369"	""
"787"	"FBgn0004370"	""
"788"	"FBgn0004372"	""
"789"	"FBgn0004373"	""
"790"	"FBgn0004374"	""
"791"	"FBgn0004378"	""
"792"	"FBgn0004379"	""
"793"	"FBgn0004380"	""
"794"	"FBgn0004381"	""
"795"	"FBgn0004387"	""
"796"	"FBgn0004389"	""
"797"	"FBgn0004390"	""
"798"	"FBgn0004391"	""
"799"	"FBgn0004394"	""
"800"	"FBgn0004395"	""
"801"	"FBgn0004396"	""
"802"	"FBgn0004397"	""
"803"	"FBgn0004400"	""
"804"	"FBgn0004401"	""
"805"	"FBgn0004403"	""
"806"	"FBgn0004404"	""
"807"	"FBgn0004406"	""
"808"	"FBgn0004407"	""
"809"	"FBgn0004414"	""
"810"	"FBgn0004419"	""
"811"	"FBgn0004425"	""
"812"	"FBgn0004426"	""
"813"	"FBgn0004427"	""
"814"	"FBgn0004428"	""
"815"	"FBgn0004429"	""
"816"	"FBgn0004430"	""
"817"	"FBgn0004431"	""
"818"	"FBgn0004432"	""
"819"	"FBgn0004435"	""
"820"	"FBgn0004436"	""
"821"	"FBgn0004449"	""
"822"	"FBgn0004456"	""
"823"	"FBgn0004463"	""
"824"	"FBgn0004465"	""
"825"	"FBgn0004507"	""
"826"	"FBgn0004509"	""
"827"	"FBgn0004510"	""
