"primary"	"secondary"	"symbol"
"196"	"Dmel_CG14499"	""	""
"197"	"Dmel_CG14513"	""	""
"198"	"Dmel_CG14670"	""	""
"199"	"Dmel_CG1469"	""	""
"200"	"Dmel_CG14693"	""	""
"201"	"Dmel_CG14895"	""	""
"202"	"Dmel_CG15078"	""	""
"203"	"Dmel_CG15097"	""	""
"204"	"Dmel_CG1528"	""	""
"205"	"Dmel_CG1539"	""	""
"206"	"Dmel_CG15515"	""	""
"207"	"Dmel_CG15598"	""	""
"208"	"Dmel_CG15803"	""	""
"209"	"Dmel_CG15923"	""	""
"210"	"Dmel_CG1607"	""	""
"211"	"Dmel_CG1609"	""	""
"212"	"Dmel_CG1667"	""	""
"213"	"Dmel_CG16718"	""	""
"214"	"Dmel_CG17367"	""	""
"215"	"Dmel_CG17575"	""	""
"216"	"Dmel_CG17664"	""	""
"217"	"Dmel_CG17684"	""	""
"218"	"Dmel_CG17721"	""	""
"219"	"Dmel_CG17734"	""	""
"220"	"Dmel_CG17753"	""	""
"221"	"Dmel_CG17800"	""	""
"222"	"Dmel_CG17838"	""	""
"223"	"Dmel_CG1804"	""	""
"224"	"Dmel_CG18041"	""	""
"225"	"Dmel_CG18208"	""	""
"226"	"Dmel_CG18250"	""	""
"227"	"Dmel_CG18389"	""	""
"228"	"Dmel_CG18408"	""	""
"229"	"Dmel_CG18437"	""	""
"230"	"Dmel_CG18605"	""	""
"231"	"Dmel_CG18672"	""	""
"232"	"Dmel_CG1891"	""	""
"233"	"Dmel_CG2016"	""	""
"234"	"Dmel_CG2126"	""	""
"235"	"Dmel_CG2216"	""	""
"236"	"Dmel_CG2244"	""	""
"237"	"Dmel_CG2698"	""	""
"238"	"Dmel_CG2747"	""	""
"239"	"Dmel_CG2791"	""	""
"240"	"Dmel_CG2987"	""	""
"241"	"Dmel_CG2993"	""	""
"242"	"Dmel_CG30072"	""	""
"243"	"Dmel_CG30082"	""	""
"244"	"Dmel_CG30092"	""	""
"245"	"Dmel_CG30187"	""	""
"246"	"Dmel_CG30361"	""	""
"247"	"Dmel_CG30381"	""	""
"248"	"Dmel_CG30389"	""	""
"249"	"Dmel_CG30488"	""	""
"250"	"Dmel_CG30495"	""	""
"251"	"Dmel_CG31012"	""	""
"252"	"Dmel_CG31062"	""	""
"253"	"Dmel_CG31064"	""	""
"254"	"Dmel_CG31072"	""	""
"255"	"Dmel_CG31075"	""	""
"256"	"Dmel_CG31100"	""	""
"257"	"Dmel_CG31102"	""	""
"258"	"Dmel_CG31140"	""	""
"259"	"Dmel_CG31163"	""	""
"260"	"Dmel_CG31221"	""	""
"261"	"Dmel_CG31427"	""	""
"262"	"Dmel_CG31522"	""	""
"263"	"Dmel_CG31550"	""	""
"264"	"Dmel_CG3209"	""	""
"265"	"Dmel_CG32464"	""	""
"266"	"Dmel_CG32834"	""	""
"267"	"Dmel_CG32843"	""	""
"268"	"Dmel_CG33087"	""	""
"269"	"Dmel_CG33094"	""	""
"270"	"Dmel_CG33203"	""	""
"271"	"Dmel_CG33225"	""	""
"272"	"Dmel_CG3328"	""	""
"273"	"Dmel_CG33323"	""	""
"274"	"Dmel_CG33467"	""	""
"275"	"Dmel_CG33483"	""	""
"276"	"Dmel_CG33547"	""	""
"277"	"Dmel_CG33558"	""	""
"278"	"Dmel_CG3385"	""	""
"279"	"Dmel_CG33960"	""	""
"280"	"Dmel_CG33981"	""	""
"281"	"Dmel_CG34100"	""	""
"282"	"Dmel_CG3412"	""	""
"283"	"Dmel_CG34131"	""	""
"284"	"Dmel_CG34231"	""	""
"285"	"Dmel_CG34308"	""	""
"286"	"Dmel_CG34353"	""	""
"287"	"Dmel_CG34355"	""	""
"288"	"Dmel_CG34360"	""	""
"289"	"Dmel_CG34371"	""	""
"290"	"Dmel_CG34377"	""	""
"291"	"Dmel_CG34390"	""	""
"292"	"Dmel_CG34397"	""	""
"293"	"Dmel_CG34407"	""	""
"294"	"Dmel_CG3615"	""	""
"295"	"Dmel_CG3723"	""	""
"296"	"Dmel_CG3831"	""	""
"297"	"Dmel_CG3845"	""	""
"298"	"Dmel_CG3856"	""	""
"299"	"Dmel_CG3860"	""	""
"300"	"Dmel_CG4019"	""	""
"301"	"Dmel_CG4062"	""	""
"302"	"Dmel_CG4090"	""	""
"303"	"Dmel_CG41265"	""	""
"304"	"Dmel_CG41378"	""	""
"305"	"Dmel_CG42322"	""	""
"306"	"Dmel_CG42326"	""	""
"307"	"Dmel_CG42344"	""	""
"308"	"Dmel_CG42345"	""	""
"309"	"Dmel_CG4250"	""	""
"310"	"Dmel_CG42573"	""	""
"311"	"Dmel_CG42595"	""	""
"312"	"Dmel_CG42596"	""	""
"313"	"Dmel_CG42599"	""	""
"314"	"Dmel_CG42613"	""	""
"315"	"Dmel_CG42668"	""	""
"316"	"Dmel_CG42670"	""	""
"317"	"Dmel_CG42675"	""	""
"318"	"Dmel_CG42678"	""	""
"319"	"Dmel_CG42694"	""	""
"320"	"Dmel_CG42698"	""	""
"321"	"Dmel_CG42700"	""	""
"322"	"Dmel_CG42724"	""	""
"323"	"Dmel_CG42795"	""	""
"324"	"Dmel_CG42796"	""	""
"325"	"Dmel_CG42811"	""	""
"326"	"Dmel_CG42828"	""	""
"327"	"Dmel_CG43058"	""	""
"328"	"Dmel_CG43066"	""	""
"329"	"Dmel_CG43067"	""	""
"330"	"Dmel_CG43073"	""	""
"331"	"Dmel_CG43102"	""	""
"332"	"Dmel_CG43124"	""	""
"333"	"Dmel_CG43125"	""	""
"334"	"Dmel_CG43140"	""	""
"335"	"Dmel_CG43143"	""	""
"336"	"Dmel_CG43177"	""	""
"337"	"Dmel_CG43224"	""	""
"338"	"Dmel_CG43226"	""	""
"339"	"Dmel_CG43324"	""	""
"340"	"Dmel_CG43327"	""	""
"341"	"Dmel_CG43335"	""	""
"342"	"Dmel_CG43336"	""	""
"343"	"Dmel_CG43352"	""	""
"344"	"Dmel_CG43442"	""	""
"345"	"Dmel_CG43667"	""	""
"346"	"Dmel_CG4370"	""	""
"347"	"Dmel_CG43729"	""	""
"348"	"Dmel_CG43741"	""	""
"349"	"Dmel_CG43742"	""	""
"350"	"Dmel_CG43776"	""	""
"351"	"Dmel_CG43777"	""	""
"352"	"Dmel_CG43998"	""	""
"353"	"Dmel_CG44012"	""	""
"354"	"Dmel_CG44154"	""	""
"355"	"Dmel_CG44159"	""	""
"356"	"Dmel_CG44162"	""	""
"357"	"Dmel_CG44167"	""	""
"358"	"Dmel_CG44194"	""	""
"359"	"Dmel_CG44239"	""	""
"360"	"Dmel_CG44244"	""	""
"361"	"Dmel_CG44249"	""	""
"362"	"Dmel_CG44296"	""	""
"363"	"Dmel_CG4433"	""	""
"364"	"Dmel_CG45019"	""	""
"365"	"Dmel_CG45049"	""	""
"366"	"Dmel_CG45062"	""	""
"367"	"Dmel_CG45063"	""	""
