"primary"	"secondary"	"symbol"
"128"	"S000000128"	"YBL032W"	"HEK2"
"129"	"S000000129"	"YBL033C"	"RIB1"
"130"	"S000000130"	"YBL034C"	"STU1"
"131"	"S000000131"	"YBL035C"	"POL12"
"132"	"S000000132"	"YBL036C"	""
"133"	"S000000133"	"YBL037W"	"APL3"
"134"	"S000000134"	"YBL038W"	"MRPL16"
"135"	"S000000135"	"YBL039C"	"URA7"
"136"	"S000000136"	"YBL040C"	"ERD2"
"137"	"S000000137"	"YBL041W"	"PRE7"
"138"	"S000000138"	"YBL042C"	"FUI1"
"139"	"S000000139"	"YBL043W"	"ECM13"
"140"	"S000000140"	"YBL044W"	""
"141"	"S000000141"	"YBL045C"	"COR1"
"142"	"S000000142"	"YBL046W"	"PSY4"
"143"	"S000000143"	"YBL047C"	"EDE1"
"144"	"S000000144"	"YBL048W"	"RRT1"
"145"	"S000000145"	"YBL049W"	"MOH1"
"146"	"S000000146"	"YBL050W"	"SEC17"
"147"	"S000000147"	"YBL051C"	"PIN4"
"148"	"S000000148"	"YBL052C"	"SAS3"
"149"	"S000000149"	"YBL053W"	""
"150"	"S000000150"	"YBL054W"	"TOD6"
"151"	"S000000151"	"YBL055C"	""
"152"	"S000000152"	"YBL056W"	"PTC3"
"153"	"S000000153"	"YBL057C"	"PTH2"
"154"	"S000000154"	"YBL058W"	"SHP1"
"155"	"S000000155"	"YBL059W"	"IAI11"
"156"	"S000000156"	"YBL060W"	"YEL1"
"157"	"S000000157"	"YBL061C"	"SKT5"
"158"	"S000000158"	"YBL062W"	""
"159"	"S000000159"	"YBL063W"	"KIP1"
"160"	"S000000160"	"YBL064C"	"PRX1"
"161"	"S000000161"	"YBL065W"	""
"162"	"S000000162"	"YBL066C"	"SEF1"
"163"	"S000000163"	"YBL067C"	"UBP13"
"164"	"S000000164"	"YBL068W"	"PRS4"
"165"	"S000000165"	"YBL069W"	"AST1"
"166"	"S000000166"	"YBL070C"	""
"167"	"S000000167"	"YBL071C"	""
"168"	"S000000168"	"YBL072C"	"RPS8A"
"169"	"S000000169"	"YBL073W"	""
"170"	"S000000170"	"YBL074C"	"AAR2"
"171"	"S000000171"	"YBL075C"	"SSA3"
"172"	"S000000172"	"YBL076C"	"ILS1"
"173"	"S000000173"	"YBL077W"	""
"174"	"S000000174"	"YBL078C"	"ATG8"
"175"	"S000000175"	"YBL079W"	"NUP170"
"176"	"S000000176"	"YBL080C"	"PET112"
"177"	"S000000177"	"YBL081W"	""
"178"	"S000000178"	"YBL082C"	"ALG3"
"179"	"S000000179"	"YBL083C"	""
"180"	"S000000180"	"YBL084C"	"CDC27"
"181"	"S000000181"	"YBL085W"	"BOI1"
"182"	"S000000182"	"YBL086C"	""
"183"	"S000000183"	"YBL087C"	"RPL23A"
"184"	"S000000184"	"YBL088C"	"TEL1"
"185"	"S000000185"	"YBL089W"	"AVT5"
"186"	"S000000186"	"YBL090W"	"MRP21"
"187"	"S000000187"	"YBL091C"	"MAP2"
"188"	"S000000188"	"YBL092W"	"RPL32"
"189"	"S000000189"	"YBL093C"	"ROX3"
"190"	"S000000190"	"YBL094C"	""
"191"	"S000000191"	"YBL095W"	"MRX3"
"192"	"S000000192"	"YBL096C"	""
"193"	"S000000193"	"YBL097W"	"BRN1"
"194"	"S000000194"	"YBL098W"	"BNA4"
"195"	"S000000195"	"YBL099W"	"ATP1"
"196"	"S000000196"	"YBL100C"	""
"197"	"S000000197"	"YBL101C"	"ECM21"
"198"	"S000000198"	"YBL102W"	"SFT2"
"199"	"S000000199"	"YBL103C"	"RTG3"
"200"	"S000000200"	"YBL104C"	"SEA4"
"201"	"S000000201"	"YBL105C"	"PKC1"
"202"	"S000000202"	"YBL106C"	"SRO77"
"203"	"S000000203"	"YBL107C"	"MIX23"
"204"	"S000000204"	"YBL108W"	""
"205"	"S000000205"	"YBR001C"	"NTH2"
"206"	"S000000206"	"YBR002C"	"RER2"
"207"	"S000000207"	"YBR003W"	"COQ1"
"208"	"S000000208"	"YBR004C"	"GPI18"
"209"	"S000000209"	"YBR005W"	"RCR1"
"210"	"S000000210"	"YBR006W"	"UGA2"
"211"	"S000000211"	"YBR007C"	"DSF2"
"212"	"S000000212"	"YBR008C"	"FLR1"
"213"	"S000000213"	"YBR009C"	"HHF1"
"214"	"S000000214"	"YBR010W"	"HHT1"
"215"	"S000000215"	"YBR011C"	"IPP1"
"216"	"S000000216"	"YBR012C"	""
"217"	"S000000217"	"YBR013C"	""
"218"	"S000000218"	"YBR014C"	"GRX7"
"219"	"S000000219"	"YBR015C"	"MNN2"
"220"	"S000000220"	"YBR016W"	""
"221"	"S000000221"	"YBR017C"	"KAP104"
"222"	"S000000222"	"YBR018C"	"GAL7"
"223"	"S000000223"	"YBR019C"	"GAL10"
"224"	"S000000224"	"YBR020W"	"GAL1"
"225"	"S000000225"	"YBR021W"	"FUR4"
"226"	"S000000226"	"YBR022W"	"POA1"
"227"	"S000000227"	"YBR023C"	"CHS3"
"228"	"S000000228"	"YBR024W"	"SCO2"
"229"	"S000000229"	"YBR025C"	"OLA1"
"230"	"S000000230"	"YBR026C"	"ETR1"
"231"	"S000000231"	"YBR027C"	""
"232"	"S000000232"	"YBR028C"	"YPK3"
"233"	"S000000233"	"YBR029C"	"CDS1"
"234"	"S000000234"	"YBR030W"	"RKM3"
"235"	"S000000235"	"YBR031W"	"RPL4A"
"236"	"S000000236"	"YBR032W"	""
"237"	"S000000237"	"YBR033W"	"EDS1"
"238"	"S000000238"	"YBR034C"	"HMT1"
"239"	"S000000239"	"YBR035C"	"PDX3"
"240"	"S000000240"	"YBR036C"	"CSG2"
"241"	"S000000241"	"YBR037C"	"SCO1"
"242"	"S000000242"	"YBR038W"	"CHS2"
"243"	"S000000243"	"YBR039W"	"ATP3"
"244"	"S000000244"	"YBR040W"	"FIG1"
"245"	"S000000245"	"YBR041W"	"FAT1"
"246"	"S000000246"	"YBR042C"	"CST26"
"247"	"S000000247"	"YBR043C"	"QDR3"
"248"	"S000000248"	"YBR044C"	"TCM62"
"249"	"S000000249"	"YBR045C"	"GIP1"
"250"	"S000000250"	"YBR046C"	"ZTA1"
"251"	"S000000251"	"YBR047W"	"FMP23"
"252"	"S000000252"	"YBR048W"	"RPS11B"
