"primary"	"secondary"	"symbol"
"1"	"CHEBI:29173"	NA	NA
"2"	"CHEBI:29175"	NA	NA
"3"	"EBI"	NA	NA
"4"	"L000003336"	"YCLX01W"	NA
"5"	"S000000001"	"YAL001C"	"TFC3"
"6"	"S000000002"	"YAL002W"	"VPS8"
"7"	"S000000003"	"YAL003W"	"EFB1"
"8"	"S000000004"	"YAL005C"	"SSA1"
"9"	"S000000005"	"YAL007C"	"ERP2"
"10"	"S000000006"	"YAL008W"	"FUN14"
"11"	"S000000007"	"YAL009W"	"SPO7"
"12"	"S000000008"	"YAL010C"	"MDM10"
"13"	"S000000009"	"YAL011W"	"SWC3"
"14"	"S000000010"	"YAL012W"	"CYS3"
"15"	"S000000011"	"YAL013W"	"DEP1"
"16"	"S000000012"	"YAL014C"	"SYN8"
"17"	"S000000013"	"YAL015C"	"NTG1"
"18"	"S000000014"	"YAL016W"	"TPD3"
"19"	"S000000015"	"YAL017W"	"PSK1"
"20"	"S000000016"	"YAL018C"	"LDS1"
"21"	"S000000017"	"YAL019W"	"FUN30"
"22"	"S000000018"	"YAL020C"	"ATS1"
"23"	"S000000019"	"YAL021C"	"CCR4"
"24"	"S000000020"	"YAL022C"	"FUN26"
"25"	"S000000021"	"YAL023C"	"PMT2"
"26"	"S000000022"	"YAL024C"	"LTE1"
"27"	"S000000023"	"YAL025C"	"MAK16"
"28"	"S000000024"	"YAL026C"	"DRS2"
"29"	"S000000025"	"YAL027W"	"SAW1"
"30"	"S000000026"	"YAL028W"	"FRT2"
"31"	"S000000027"	"YAL029C"	"MYO4"
"32"	"S000000028"	"YAL030W"	"SNC1"
"33"	"S000000029"	"YAL031C"	"GIP4"
"34"	"S000000030"	"YAL032C"	"PRP45"
"35"	"S000000031"	"YAL033W"	"POP5"
"36"	"S000000032"	"YAL034W-A"	"MTW1"
"37"	"S000000033"	"YAL035W"	"FUN12"
"38"	"S000000034"	"YAL036C"	"RBG1"
"39"	"S000000035"	"YAL037W"	NA
"40"	"S000000036"	"YAL038W"	"CDC19"
"41"	"S000000037"	"YAL039C"	"CYC3"
"42"	"S000000038"	"YAL040C"	"CLN3"
"43"	"S000000039"	"YAL041W"	"CDC24"
"44"	"S000000040"	"YAL042W"	"ERV46"
"45"	"S000000041"	"YAL043C"	"PTA1"
"46"	"S000000042"	"YAL044C"	"GCV3"
"47"	"S000000043"	"YAL045C"	NA
"48"	"S000000044"	"YAL046C"	"BOL3"
"49"	"S000000045"	"YAL047C"	"SPC72"
"50"	"S000000046"	"YAL048C"	"GEM1"
"51"	"S000000047"	"YAL049C"	"AIM2"
"52"	"S000000048"	"YAL051W"	"OAF1"
"53"	"S000000049"	"YAL053W"	"FLC2"
"54"	"S000000050"	"YAL054C"	"ACS1"
"55"	"S000000051"	"YAL055W"	"PEX22"
"56"	"S000000052"	"YAL056W"	"GPB2"
"57"	"S000000054"	"YAL058W"	"CNE1"
"58"	"S000000055"	"YAL059W"	"ECM1"
"59"	"S000000056"	"YAL060W"	"BDH1"
"60"	"S000000057"	"YAL061W"	"BDH2"
"61"	"S000000058"	"YAL062W"	"GDH3"
"62"	"S000000059"	"YAL063C"	"FLO9"
"63"	"S000000060"	"YAL064W"	NA
"64"	"S000000061"	"YAL066W"	NA
"65"	"S000000062"	"YAL067C"	"SEO1"
"66"	"S000000063"	"YAR002W"	"NUP60"
"67"	"S000000064"	"YAR003W"	"SWD1"
"68"	"S000000065"	"YAR007C"	"RFA1"
"69"	"S000000066"	"YAR008W"	"SEN34"
"70"	"S000000067"	"YAR009C"	NA
"71"	"S000000068"	"YAR010C"	NA
"72"	"S000000069"	"YAR014C"	"BUD14"
"73"	"S000000070"	"YAR015W"	"ADE1"
"74"	"S000000071"	"YAR018C"	"KIN3"
"75"	"S000000072"	"YAR019C"	"CDC15"
"76"	"S000000073"	"YAR020C"	"PAU7"
"77"	"S000000074"	"YAR023C"	NA
"78"	"S000000075"	"YAR027W"	"UIP3"
"79"	"S000000076"	"YAR028W"	NA
"80"	"S000000077"	"YAR029W"	NA
"81"	"S000000078"	"YAR031W"	"PRM9"
"82"	"S000000079"	"YAR033W"	"MST28"
"83"	"S000000080"	"YAR035W"	"YAT1"
"84"	"S000000081"	"YAR042W"	"SWH1"
"85"	"S000000082"	"YAR044W"	NA
"86"	"S000000083"	"YAR047C"	NA
"87"	"S000000084"	"YAR050W"	"FLO1"
"88"	"S000000085"	"YAR053W"	NA
"89"	"S000000086"	"YAR060C"	NA
"90"	"S000000087"	"YAR061W"	NA
"91"	"S000000088"	"YAR062W"	NA
"92"	"S000000089"	"YAR064W"	NA
"93"	"S000000091"	"YAR068W"	NA
"94"	"S000000092"	"YAR069C"	NA
"95"	"S000000093"	"YAR070C"	NA
"96"	"S000000094"	"YAR071W"	"PHO11"
"97"	"S000000095"	"YAR073W"	"IMD1"
"98"	"S000000097"	"YBL001C"	"ECM15"
"99"	"S000000098"	"YBL002W"	"HTB2"
"100"	"S000000099"	"YBL003C"	"HTA2"
"101"	"S000000100"	"YBL004W"	"UTP20"
"102"	"S000000101"	"YBL005W"	"PDR3"
"103"	"S000000102"	"YBL006C"	"LDB7"
"104"	"S000000103"	"YBL007C"	"SLA1"
"105"	"S000000104"	"YBL008W"	"HIR1"
"106"	"S000000105"	"YBL009W"	"ALK2"
"107"	"S000000106"	"YBL010C"	NA
"108"	"S000000107"	"YBL011W"	"SCT1"
"109"	"S000000108"	"YBL012C"	NA
"110"	"S000000109"	"YBL013W"	"FMT1"
"111"	"S000000110"	"YBL014C"	"RRN6"
"112"	"S000000111"	"YBL015W"	"ACH1"
"113"	"S000000112"	"YBL016W"	"FUS3"
"114"	"S000000113"	"YBL017C"	"PEP1"
"115"	"S000000114"	"YBL018C"	"POP8"
"116"	"S000000115"	"YBL019W"	"APN2"
"117"	"S000000116"	"YBL020W"	"RFT1"
"118"	"S000000117"	"YBL021C"	"HAP3"
"119"	"S000000118"	"YBL022C"	"PIM1"
"120"	"S000000119"	"YBL023C"	"MCM2"
"121"	"S000000120"	"YBL024W"	"NCL1"
"122"	"S000000121"	"YBL025W"	"RRN10"
"123"	"S000000122"	"YBL026W"	"LSM2"
"124"	"S000000123"	"YBL027W"	"RPL19B"
"125"	"S000000124"	"YBL028C"	NA
"126"	"S000000125"	"YBL029W"	NA
"127"	"S000000126"	"YBL030C"	"PET9"
"128"	"S000000127"	"YBL031W"	"SHE1"
"129"	"S000000128"	"YBL032W"	"HEK2"
"130"	"S000000129"	"YBL033C"	"RIB1"
"131"	"S000000130"	"YBL034C"	"STU1"
"132"	"S000000131"	"YBL035C"	"POL12"
"133"	"S000000132"	"YBL036C"	NA
"134"	"S000000133"	"YBL037W"	"APL3"
"135"	"S000000134"	"YBL038W"	"MRPL16"
"136"	"S000000135"	"YBL039C"	"URA7"
"137"	"S000000136"	"YBL040C"	"ERD2"
"138"	"S000000137"	"YBL041W"	"PRE7"
"139"	"S000000138"	"YBL042C"	"FUI1"
"140"	"S000000139"	"YBL043W"	"ECM13"
"141"	"S000000140"	"YBL044W"	NA
"142"	"S000000141"	"YBL045C"	"COR1"
"143"	"S000000142"	"YBL046W"	"PSY4"
"144"	"S000000143"	"YBL047C"	"EDE1"
"145"	"S000000144"	"YBL048W"	"RRT1"
"146"	"S000000145"	"YBL049W"	"MOH1"
"147"	"S000000146"	"YBL050W"	"SEC17"
"148"	"S000000147"	"YBL051C"	"PIN4"
"149"	"S000000148"	"YBL052C"	"SAS3"
"150"	"S000000149"	"YBL053W"	NA
"151"	"S000000150"	"YBL054W"	"TOD6"
"152"	"S000000151"	"YBL055C"	NA
"153"	"S000000152"	"YBL056W"	"PTC3"
"154"	"S000000153"	"YBL057C"	"PTH2"
"155"	"S000000154"	"YBL058W"	"SHP1"
"156"	"S000000155"	"YBL059W"	NA
"157"	"S000000156"	"YBL060W"	"YEL1"
"158"	"S000000157"	"YBL061C"	"SKT5"
"159"	"S000000158"	"YBL062W"	NA
"160"	"S000000159"	"YBL063W"	"KIP1"
"161"	"S000000160"	"YBL064C"	"PRX1"
"162"	"S000000161"	"YBL065W"	NA
"163"	"S000000162"	"YBL066C"	"SEF1"
"164"	"S000000163"	"YBL067C"	"UBP13"
"165"	"S000000164"	"YBL068W"	"PRS4"
"166"	"S000000165"	"YBL069W"	"AST1"
"167"	"S000000166"	"YBL070C"	NA
"168"	"S000000167"	"YBL071C"	NA
"169"	"S000000168"	"YBL072C"	"RPS8A"
"170"	"S000000169"	"YBL073W"	NA
"171"	"S000000170"	"YBL074C"	"AAR2"
"172"	"S000000171"	"YBL075C"	"SSA3"
"173"	"S000000172"	"YBL076C"	"ILS1"
"174"	"S000000173"	"YBL077W"	NA
"175"	"S000000174"	"YBL078C"	"ATG8"
"176"	"S000000175"	"YBL079W"	"NUP170"
