"primary"	"secondary"	"symbol"
"149"	"LV1D_MOUSE"	""	""
"150"	"LV1E_MOUSE"	""	""
"151"	"LV2B_MOUSE"	""	""
"152"	"MGI:101757"	""	"Cfl1"
"153"	"MGI:101758"	""	"Pet2"
"154"	"MGI:101759"	""	"Syt4"
"155"	"MGI:101760"	""	"Sfswap"
"156"	"MGI:101761"	""	"Hmga2"
"157"	"MGI:101762"	""	"Elk3"
"158"	"MGI:101763"	""	"Cfl2"
"159"	"MGI:101764"	""	"Cdk5r1"
"160"	"MGI:101765"	""	"Cdk5"
"161"	"MGI:101766"	""	"Ryk"
"162"	"MGI:101769"	""	"Mcl1"
"163"	"MGI:101770"	""	"Bfsp1"
"164"	"MGI:101771"	""	"Sntb2"
"165"	"MGI:101772"	""	"Snta1"
"166"	"MGI:101773"	""	"Cd86"
"167"	"MGI:101774"	""	"Cd79a"
"168"	"MGI:101775"	""	"Cd80"
"169"	"MGI:101776"	""	"Lhx4"
"170"	"MGI:101780"	""	"Serpine2"
"171"	"MGI:101781"	""	"Sntb1"
"172"	"MGI:101782"	""	"Scnn1a"
"173"	"MGI:101783"	""	"Plk4"
"174"	"MGI:101784"	""	"Nes"
"175"	"MGI:101785"	""	"Mybl2"
"176"	"MGI:101786"	""	"Mtf1"
"177"	"MGI:101787"	""	"mt-Nd1"
"178"	"MGI:101788"	""	"Cisd3"
"179"	"MGI:101789"	""	"Lig1"
"180"	"MGI:101790"	""	"Fabp5"
"181"	"MGI:101791"	""	"Isl1"
"182"	"MGI:101800"	""	"Dppa5a"
"183"	"MGI:101802"	""	"F2r"
"184"	"MGI:101805"	""	"Gys1"
"185"	"MGI:101813"	""	"Coq3"
"186"	"MGI:101815"	""	"Fmn1"
"187"	"MGI:101816"	""	"Msh2"
"188"	"MGI:101825"	""	"Tango2"
"189"	"MGI:101833"	""	"Elk1"
"190"	"MGI:101834"	""	"Tubg1"
"191"	"MGI:101835"	""	"Traf2"
"192"	"MGI:101836"	""	"Traf1"
"193"	"MGI:101838"	""	"Tbp"
"194"	"MGI:101839"	""	"Rpl28"
"195"	"MGI:101841"	""	"Ppm1b"
"196"	"MGI:101842"	""	"Pla2g1b"
"197"	"MGI:101845"	""	"Mcm3"
"198"	"MGI:101847"	""	"Ifi205"
"199"	"MGI:101848"	""	"Gnb5"
"200"	"MGI:101849"	""	"Rack1"
"201"	"MGI:101850"	""	"Usp45"
"202"	"MGI:101857"	""	"Usp15"
"203"	"MGI:101859"	""	"Ccser2"
"204"	"MGI:101861"	""	"Gcap10"
"205"	"MGI:101863"	""	"Aldoc"
"206"	"MGI:101864"	""	"Dag1"
"207"	"MGI:101865"	""	"Srms"
"208"	"MGI:101875"	""	"Thpo"
"209"	"MGI:101876"	""	"Tead1"
"210"	"MGI:101877"	""	"Tcf12"
"211"	"MGI:101878"	""	"Ccl8"
"212"	"MGI:101884"	""	"Ppard"
"213"	"MGI:101893"	""	"Pou5f1"
"214"	"MGI:101894"	""	"Pou3f4"
"215"	"MGI:101895"	""	"Pou3f2"
"216"	"MGI:101896"	""	"Pou3f1"
"217"	"MGI:101897"	""	"Pou2f2"
"218"	"MGI:101898"	""	"Pou2f1"
"219"	"MGI:101899"	""	"Pla2g5"
"220"	"MGI:101900"	""	"Mmp14"
"221"	"MGI:101901"	""	"Klra7"
"222"	"MGI:101902"	""	"Klra6"
"223"	"MGI:101903"	""	"Klra5"
"224"	"MGI:101904"	""	"Klra4"
"225"	"MGI:101905"	""	"Klra3"
"226"	"MGI:101906"	""	"Klra2"
"227"	"MGI:101907"	""	"Klra1"
"228"	"MGI:101908"	""	"Gpr3"
"229"	"MGI:101909"	""	"Gpr12"
"230"	"MGI:101910"	""	"F2rl1"
"231"	"MGI:101911"	""	"Dusp2"
"232"	"MGI:101912"	""	"Dad1"
"233"	"MGI:101913"	""	"Chml"
"234"	"MGI:101914"	""	"Calb2"
"235"	"MGI:101916"	""	"Fabp7"
"236"	"MGI:101917"	""	"Bcap29"
"237"	"MGI:101918"	""	"Akr1b7"
"238"	"MGI:101919"	""	"Ap1g1"
"239"	"MGI:101920"	""	"Ap2a2"
"240"	"MGI:101921"	""	"Ap2a1"
"241"	"MGI:101922"	""	"Tnc"
"242"	"MGI:101924"	""	"Slc12a2"
"243"	"MGI:101925"	""	"Krt13"
"244"	"MGI:101926"	""	"Dlx5"
"245"	"MGI:101927"	""	"Dlx6"
"246"	"MGI:101931"	""	"Slc1a2"
"247"	"MGI:101932"	""	"Cpe"
"248"	"MGI:101934"	""	"Tfdp1"
"249"	"MGI:101937"	""	"Pkib"
"250"	"MGI:101938"	""	"Mlh1"
"251"	"MGI:101939"	""	"Hmgcs2"
